series,wiki_title,status,type,subtype,operator_page_title,operator_jp,operator_en,full_name
E2系,新幹線E2系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E2系電車
E3系,新幹線E3系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E3系電車
E5系,新幹線E5系・H5系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E5系・H5系電車
E6系,新幹線E6系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E6系電車
E7系,新幹線E7系・W7系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E7系・W7系電車
E8系,新幹線E8系電車,現役,新幹線電車,営業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E8系電車
E926形,新幹線E926形電車,現役,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E926形電車
E956形,新幹線E956形電車,現役,新幹線電車,事業用,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",新幹線E956形電車
C57形,国鉄C57形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄C57形蒸気機関車
C58形,国鉄C58形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄C58形蒸気機関車
C61形,国鉄C61形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄C61形蒸気機関車
D51形,国鉄D51形蒸気機関車,現役,蒸気機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄D51形蒸気機関車
EF64形,国鉄EF64形電気機関車,現役,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄EF64形電気機関車
EF65形,国鉄EF65形電気機関車,現役,電気機関車,直流用,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄EF65形電気機関車
EF81形,国鉄EF81形電気機関車,現役,電気機関車,交直両用,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄EF81形電気機関車
DD14形,国鉄DD14形ディーゼル機関車,現役,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄DD14形ディーゼル機関車
DD51形,国鉄DD51形ディーゼル機関車,現役,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄DD51形ディーゼル機関車
DE10形,国鉄DE10形ディーゼル機関車,現役,ディーゼル機関車,,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄DE10形ディーゼル機関車
157系,国鉄157系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",国鉄157系電車
253系,JR東日本253系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本253系電車
255系,JR東日本255系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本255系電車
E257系,JR東日本E257系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E257系電車
E259系,JR東日本E259系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E259系電車
E261系,JR東日本E261系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E261系電車
E353系,JR東日本E353系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E353系電車
583系,国鉄583系電車,現役,電車,特急形,"[""JR東日本の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR西日本""]","[""JR East"", ""JR West""]",国鉄583系電車
651系,JR東日本651系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本651系電車
E653系,JR東日本E653系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E653系電車
E655系,JR東日本E655系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E655系電車
E657系,JR東日本E657系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E657系電車
E751系,JR東日本E751系電車,現役,電車,特急形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本E751系電車
211系,国鉄211系電車,現役,電車,近郊形,"[""JR東日本の車両形式"", ""JR東海の車両形式"", ""JR西日本の車両形式""]","[""JR東日本"", ""JR東海"", ""JR西日本""]","[""JR East"", ""JR Central"", ""JR West""]",国鉄211系電車
719系,JR東日本719系電車,現役,電車,近郊形,"[""JR東日本の車両形式""]","[""JR東日本""]","[""JR East""]",JR東日本719系電車
